Harbor Name
"STOMIO KORINTHIAS, Greece (833)"
"SUKAMINEA LESBOU, Greece (834)"
"Folegandros, Greece (FOL)"
"Fournoi, Greece (FOU)"
"Gavdos Chanea, Greece (GAD)"
"Galatas Troizinas, Greece (GAL)"
"Gavrion, Greece (GAV)"
"Glossa, Greece (GLO)"
"Galaxidi, Greece (GLX)"
"Glyfa Fthiotidas, Greece (GLY)"
"Agia Marina Grammatikou Attikis, Greece (GMA)"
"Patras, Greece (GPA)"
"Gythion, Greece (GYT)"
"Halki Dodekanison, Greece (HAL)"
"Heraklion (Iraklion), Greece (HER)"
"Herakleia Kykladon, Greece (HRK)"
"Hydra (Idhra), Greece (HYD)"
"Ierapetra, Greece (IER)"
"Ierissos, Greece (IES)"
"Igoumenitsa, Greece (IGO)"
"Inousses, Greece (INO)"
"Ios, Greece (IOS)"
"Itea, Greece (ITA)"
"Ithaki (Ithaca), Greece (ITH)"
"Isthmia, Greece (ITM)"
"Chios, Greece (JKH)"
"Mykonos, Greece (JMK)"
"Naxos, Greece (JNX)"
"Siteia, Greece (JSH)"
"Skiathos, Greece (JSI)"
"Syros (Syra), Greece (JSY)"
"Thira, Greece (JTR)"
"Yerakini, Greece (YER)"
"Yali Island, Greece (YLI)"
"Venice, Greece (ITVCE)"
"Zakynthos, Greece (ZTH)"
"ALMUROPOTAMOS, Greece (063)"
"PANORMITES SUMES, Greece (088)"
"MARONEIA AG. KHARALAMPOU, Greece (099)"
"Skaramangas, Greece (SKA)"
"AGIOS IOANNES MAGNESIAS, Greece (705)"
"AGIOS NIKOLAOS KHALKIDIKES, Greece (706)"
"ALUKE BOLOU, Greece (711)"
"ARMENISTES RODOU, Greece (718)"
"BATHU KALUMNOU, Greece (721)"
"DERBENI KORINTHIAS, Greece (730)"
"EPANOME THESSALONIKES, Greece (735)"
"Trikeri, Greece (TRK)"
"Thirasia, Greece (TRS)"
"Trypiti Chalkidikis, Greece (TRY)"
"Tsingeli, Greece (TSI)"
"Thasos, Greece (TSO)"
